subject,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18
sub-0100502_ses-4,0.076936 ,0.070906 ,0.070630 ,0.063135 ,0.063630 ,0.065409 ,0.057009 ,0.066963 ,0.082210 ,0.050524 ,0.087485 ,0.082881 ,0.074088 ,0.050290 ,0.079505 ,0.056063 ,0.080152 ,0.063713
sub-0100502_ses-4,0.047778 ,0.051783 ,0.059348 ,0.067355 ,0.046000 ,0.055196 ,0.052602 ,0.067430 ,0.063162 ,0.052959 ,0.103414 ,0.093920 ,0.071975 ,0.053388 ,0.083865 ,0.053902 ,0.089201 ,0.030113
sub-0100502_ses-4,0.085087 ,0.082696 ,0.074549 ,0.082233 ,0.072322 ,0.077035 ,0.075228 ,0.066722 ,0.074775 ,0.060537 ,0.112433 ,0.088262 ,0.088110 ,0.058921 ,0.089153 ,0.059334 ,0.096425 ,0.058126
sub-0100502_ses-4,0.083379 ,0.070175 ,0.075163 ,0.074421 ,0.062068 ,0.075177 ,0.069305 ,0.065569 ,0.085339 ,0.061235 ,0.102328 ,0.086056 ,0.078393 ,0.057309 ,0.071747 ,0.062954 ,0.086902 ,0.055179
sub-0100502_ses-4,0.090641 ,0.066687 ,0.067635 ,0.073406 ,0.080201 ,0.084734 ,0.069213 ,0.077976 ,0.083110 ,0.065882 ,0.096467 ,0.099253 ,0.072813 ,0.060216 ,0.080566 ,0.055678 ,0.079029 ,0.051184
sub-0100502_ses-4,0.089020 ,0.080332 ,0.073196 ,0.080006 ,0.083220 ,0.068379 ,0.070860 ,0.072467 ,0.077002 ,0.055011 ,0.101828 ,0.079096 ,0.067966 ,0.060523 ,0.073886 ,0.071585 ,0.084789 ,0.074231
sub-0100502_ses-4,0.080629 ,0.072575 ,0.075707 ,0.078507 ,0.074606 ,0.072003 ,0.072988 ,0.063171 ,0.086810 ,0.060160 ,0.090692 ,0.085917 ,0.072621 ,0.057955 ,0.085002 ,0.060024 ,0.082976 ,0.057191
sub-0100502_ses-4,0.072661 ,0.062425 ,0.073288 ,0.057821 ,0.050210 ,0.057176 ,0.049860 ,0.058887 ,0.079478 ,0.055980 ,0.094167 ,0.096767 ,0.090574 ,0.059625 ,0.094136 ,0.060338 ,0.074608 ,0.031758
sub-0100502_ses-4,0.088133 ,0.098447 ,0.074737 ,0.078922 ,0.076398 ,0.081113 ,0.073357 ,0.068746 ,0.084275 ,0.072323 ,0.113121 ,0.090303 ,0.079992 ,0.052848 ,0.084120 ,0.064003 ,0.096332 ,0.065405
sub-0100502_ses-4,0.088264 ,0.086551 ,0.074539 ,0.086177 ,0.068440 ,0.080435 ,0.067557 ,0.082524 ,0.094172 ,0.069074 ,0.107757 ,0.086629 ,0.092024 ,0.055959 ,0.073570 ,0.062832 ,0.093650 ,0.074169
sub-0100502_ses-4,0.081180 ,0.086185 ,0.095940 ,0.090507 ,0.078774 ,0.081828 ,0.073361 ,0.070781 ,0.087165 ,0.056269 ,0.106063 ,0.086617 ,0.080365 ,0.055012 ,0.079740 ,0.065691 ,0.082596 ,0.062938
sub-0100502_ses-4,0.086665 ,0.087420 ,0.093355 ,0.081734 ,0.080819 ,0.070390 ,0.063274 ,0.060148 ,0.105044 ,0.062546 ,0.103840 ,0.083492 ,0.081778 ,0.056172 ,0.067328 ,0.067142 ,0.097412 ,0.086908
sub-0100502_ses-4,0.080280 ,0.085793 ,0.066038 ,0.063047 ,0.067298 ,0.063942 ,0.065065 ,0.061424 ,0.086709 ,0.063388 ,0.086219 ,0.077457 ,0.071251 ,0.052576 ,0.078202 ,0.064624 ,0.081873 ,0.067276
sub-0100502_ses-4,0.089994 ,0.098788 ,0.078214 ,0.076603 ,0.081408 ,0.079330 ,0.077319 ,0.071934 ,0.095864 ,0.064318 ,0.107744 ,0.083867 ,0.083178 ,0.071510 ,0.092947 ,0.063172 ,0.095375 ,0.054706
sub-0100502_ses-4,0.086690 ,0.093734 ,0.077453 ,0.077426 ,0.071343 ,0.073064 ,0.064516 ,0.068798 ,0.090283 ,0.065271 ,0.106423 ,0.100207 ,0.084323 ,0.054837 ,0.082797 ,0.079934 ,0.080356 ,0.047772
sub-0100503_ses-1,0.072156 ,0.126647 ,0.102793 ,0.072419 ,0.081562 ,0.093857 ,0.068742 ,0.070753 ,0.107791 ,0.062895 ,0.087361 ,0.101185 ,0.075210 ,0.037397 ,0.080494 ,0.055708 ,0.080983 ,0.075429
sub-0100503_ses-2,0.064163 ,0.074505 ,0.086423 ,0.057631 ,0.062426 ,0.077527 ,0.063399 ,0.062068 ,0.068115 ,0.063714 ,0.089603 ,0.092430 ,0.050826 ,0.027240 ,0.050108 ,0.043920 ,0.093754 ,0.036778
sub-0100504_ses-1,0.258757 ,0.190941 ,0.231604 ,0.123009 ,0.291048 ,0.231209 ,0.189171 ,0.187747 ,0.152809 ,0.207602 ,0.252908 ,0.185549 ,0.139123 ,0.109392 ,0.290322 ,0.181672 ,0.250743 ,0.051178
